caseid,year
1,1754
2,1759
3,1760
4,1760
5,1762
6,1763
7,1763
8,1764
9,1764
10,1766
11,1766
12,1767
13,1768
14,1768
15,1773
16,1773
17,1776
18,1776
19,1776
20,1776
21,1778
22,1778
23,1778
24,1779
25,1780
26,1780
27,1781
28,1781
29,1781
30,1781
31,1781
32,1781
33,1781
34,1781
35,1782
36,1782
37,1782
38,1782
39,1782
40,1782
41,1783
42,1783
43,1783
44,1784
45,1784
46,1784
47,1784
48,1784
49,1784
50,1784
51,1784
52,1784
53,1784
54,1785
55,1785
56,1785
57,1785
58,1785
59,1785
60,1785
61,1785
62,1785
63,1785
64,1785
65,1785
66,1785
67,1785
68,1785
69,1785
70,1785
71,1785
72,1785
73,1785
74,1785
75,1785
76,1785
77,1785
78,1786
79,1786
80,1786
81,1786
82,1786
83,1786
84,1786
85,1786
86,1786
87,1786
88,1786
89,1786
90,1786
91,1786
92,1786
93,1786
94,1787
95,1787
96,1787
97,1787
98,1787
99,1787
100,1787
101,1787
102,1787
103,1787
104,1788
105,1788
106,1788
107,1788
108,1788
109,1788
110,1788
111,1788
112,1788
113,1788
114,1788
115,1788
116,1788
117,1788
118,1788
119,1788
120,1788
121,1788
122,1788
123,1788
124,1788
125,1788
126,1788
127,1788
128,1788
129,1788
130,1788
131,1788
132,1788
133,1788
134,1788
135,1788
136,1788
137,1788
138,1788
139,1788
140,1788
141,1788
142,1788
143,1788
144,1788
145,1788
146,1788
147,1788
148,1788
149,1788
150,1788
151,1788
152,1788
153,1788
154,1788
155,1788
156,1788
157,1789
158,1789
159,1789
160,1789
161,1789
162,1789
163,1789
164,1789
165,1789
166,1789
167,1789
168,1789
169,1789
170,1789
171,1789
172,1789
173,1789
174,1789
175,1789
176,1789
177,1789
178,1789
179,1789
180,1789
181,1790
182,1790
183,1790
184,1790
185,1790
186,1790
187,1790
188,1790
189,1790
190,1790
191,1790
192,1790
193,1790
194,1790
195,1790
196,1790
197,1790
198,1790
199,1790
200,1790
201,1790
202,1791
203,1791
204,1791
205,1791
206,1791
207,1791
208,1791
209,1791
210,1791
211,1791
212,1791
213,1791
214,1791
215,1791
216,1791
217,1791
218,1792
219,1792
220,1792
221,1792
222,1792
223,1792
224,1792
225,1792
226,1792
227,1792
228,1792
229,1792
230,1792
231,1792
232,1792
233,1792
234,1792
235,1792
236,1792
237,1792
238,1792
239,1792
240,1792
241,1792
242,1792
243,1792
244,1792
245,1792
246,1792
247,1792
248,1792
249,1792
250,1792
251,1793
252,1793
253,1793
254,1793
255,1793
256,1793
257,1793
258,1793
259,1793
260,1793
261,1793
262,1793
263,1793
264,1793
265,1793
266,1793
267,1794
268,1794
269,1794
270,1794
271,1794
272,1794
273,1794
274,1794
275,1795
276,1795
277,1795
278,1795
279,1795
280,1795
281,1795
282,1795
283,1795
284,1795
285,1795
286,1795
287,1795
288,1795
289,1795
290,1795
291,1795
292,1795
293,1795
294,1795
295,1795
296,1795
297,1795
298,1795
299,1795
300,1795
301,1795
302,1795
303,1796
304,1796
305,1796
306,1796
307,1796
308,1796
309,1796
310,1796
311,1796
312,1796
313,1796
314,1796
315,1796
316,1796
317,1796
318,1796
319,1796
320,1796
321,1796
322,1796
323,1796
324,1796
325,1796
326,1796
327,1796
328,1796
329,1796
330,1796
331,1796
332,1796
333,1796
334,1796
335,1796
336,1796
337,1796
338,1796
339,1797
340,1797
341,1797
342,1797
343,1797
344,1797
345,1797
346,1797
347,1797
348,1797
349,1797
350,1797
351,1797
352,1797
353,1797
354,1797
355,1797
356,1797
357,1798
358,1798
359,1798
360,1798
361,1798
362,1798
363,1798
364,1798
365,1798
366,1798
367,1798
368,1798
369,1798
370,1798
371,1799
372,1799
373,1799
374,1799
375,1799
376,1799
377,1799
378,1799
379,1799
380,1799
381,1799
382,1799
383,1799
384,1799
385,1799
386,1799
387,1799
388,1799
389,1799
390,1799
391,1799
392,1799
393,1799
394,1799
395,1799
396,1799
397,1799
398,1799
399,1799
400,1799
401,1800
402,1800
403,1800
404,1800
405,1800
406,1800
407,1800
408,1800
409,1800
410,1800
411,1800
412,1800
413,1800
414,1800
415,1800
416,1800
417,1800
418,1800
419,1800
420,1800
421,1800
422,1800
423,1800
424,1800
425,1800
426,1800
427,1801
428,1801
429,1801
430,1801
431,1801
432,1801
433,1801
434,1801
435,1801
436,1801
437,1801
438,1802
439,1802
440,1802
441,1802
442,1802
443,1802
444,1802
445,1802
446,1802
447,1802
448,1802
449,1803
450,1803
451,1803
452,1803
453,1803
454,1803
455,1803
456,1803
457,1803
458,1803
459,1803
460,1803
461,1803
462,1803
463,1803
464,1803
465,1803
466,1803
467,1803
468,1803
469,1803
470,1803
471,1803
472,1803
473,1803
474,1803
475,1803
476,1803
477,1803
478,1803
479,1803
480,1803
481,1803
482,1803
483,1804
484,1804
485,1804
486,1804
487,1804
488,1804
489,1804
490,1804
491,1804
492,1804
493,1804
494,1804
495,1804
496,1804
497,1804
498,1804
499,1804
500,1804
501,1804
502,1804
503,1804
504,1804
505,1804
506,1805
507,1805
508,1805
509,1805
510,1805
511,1805
512,1805
513,1805
514,1805
515,1805
516,1805
517,1805
518,1805
519,1805
520,1805
521,1805
522,1805
523,1805
524,1805
525,1805
526,1805
527,1805
528,1805
529,1805
530,1805
531,1805
532,1805
533,1806
534,1806
535,1806
536,1806
537,1806
538,1806
539,1806
540,1806
541,1806
542,1806
543,1806
544,1806
545,1806
546,1806
547,1806
548,1806
549,1806
550,1806
551,1806
552,1806
553,1806
554,1806
555,1806
556,1806
557,1806
558,1806
559,1806
560,1806
561,1806
562,1806
563,1806
564,1806
565,1806
566,1806
567,1806
568,1806
569,1806
570,1806
571,1806
572,1806
573,1807
574,1807
575,1807
576,1807
577,1807
578,1807
579,1807
580,1807
581,1807
582,1807
583,1807
584,1807
585,1807
586,1807
587,1807
588,1807
589,1807
590,1807
591,1807
592,1808
593,1808
594,1808
595,1808
596,1808
597,1808
598,1808
599,1808
600,1808
601,1808
602,1808
603,1808
604,1808
605,1808
606,1808
607,1808
608,1808
609,1808
610,1808
611,1808
612,1808
613,1808
614,1808
615,1808
616,1808
617,1808
618,1808
619,1808
620,1808
621,1808
622,1808
623,1809
624,1809
625,1809
626,1809
627,1809
628,1809
629,1809
630,1809
631,1809
632,1809
633,1809
634,1809
635,1809
636,1809
637,1809
638,1809
639,1809
640,1809
641,1809
642,1809
643,1809
644,1809
645,1809
646,1809
647,1809
648,1809
649,1809
650,1809
651,1809
652,1809
653,1809
654,1809
655,1809
656,1809
657,1809
658,1809
659,1809
660,1809
661,1809
662,1809
663,1810
664,1810
665,1810
666,1810
667,1810
668,1810
669,1810
670,1810
671,1810
672,1810
673,1810
674,1810
675,1810
676,1810
677,1810
678,1810
679,1810
680,1810
681,1810
682,1810
683,1810
684,1810
685,1810
686,1810
687,1810
688,1810
689,1810
690,1810
691,1810
692,1810
693,1810
694,1810
695,1810
696,1810
697,1810
698,1810
699,1810
700,1810
701,1810
702,1810
703,1812
704,1812
705,1812
706,1812
707,1812
708,1812
709,1812
710,1812
711,1812
712,1812
713,1812
714,1812
715,1812
716,1812
717,1812
718,1812
719,1812
720,1812
721,1812
722,1812
723,1812
724,1812
725,1812
726,1812
727,1812
728,1812
729,1812
730,1812
731,1812
732,1812
733,1812
734,1812
735,1812
736,1812
737,1812
738,1812
739,1812
740,1812
741,1813
742,1813
743,1813
744,1813
745,1813
746,1813
747,1813
748,1813
749,1813
750,1813
751,1813
752,1813
753,1813
754,1813
755,1813
756,1813
757,1813
758,1813
759,1813
760,1813
761,1813
762,1813
763,1813
764,1813
765,1813
766,1813
767,1813
768,1813
769,1813
770,1813
771,1813
772,1813
773,1813
774,1813
775,1813
776,1813
777,1813
778,1813
779,1813
780,1813
781,1813
782,1813
783,1813
784,1813
785,1814
786,1814
787,1814
788,1814
789,1814
790,1814
791,1814
792,1814
793,1814
794,1814
795,1814
796,1814
797,1814
798,1814
799,1814
800,1814
801,1814
802,1814
803,1814
804,1814
805,1814
806,1814
807,1814
808,1814
809,1814
810,1814
811,1814
812,1814
813,1814
814,1814
815,1814
816,1814
817,1814
818,1814
819,1814
820,1814
821,1814
822,1814
823,1814
824,1814
825,1814
826,1814
827,1814
828,1814
829,1814
830,1814
831,1814
832,1815
833,1815
834,1815
835,1815
836,1815
837,1815
838,1815
839,1815
840,1815
841,1815
842,1815
843,1815
844,1815
845,1815
846,1815
847,1815
848,1815
849,1815
850,1815
851,1815
852,1815
853,1815
854,1815
855,1815
856,1815
857,1815
858,1815
859,1815
860,1815
861,1815
862,1815
863,1815
864,1815
865,1815
866,1815
867,1815
868,1815
869,1815
870,1815
871,1815
872,1816
873,1816
874,1816
875,1816
876,1816
877,1816
878,1816
879,1816
880,1816
881,1816
882,1816
883,1816
884,1816
885,1816
886,1816
887,1816
888,1816
889,1816
890,1816
891,1816
892,1816
893,1816
894,1816
895,1816
896,1816
897,1816
898,1816
899,1816
900,1816
901,1816
902,1816
903,1816
904,1816
905,1816
906,1816
907,1816
908,1816
909,1816
910,1816
911,1816
912,1816
913,1816
914,1816
915,1817
916,1817
917,1817
918,1817
919,1817
920,1817
921,1817
922,1817
923,1817
924,1817
925,1817
926,1817
927,1817
928,1817
929,1817
930,1817
931,1817
932,1817
933,1817
934,1817
935,1817
936,1817
937,1817
938,1817
939,1817
940,1817
941,1817
942,1817
943,1817
944,1817
945,1817
946,1817
947,1817
948,1817
949,1817
950,1817
951,1817
952,1817
953,1817
954,1817
955,1817
956,1817
957,1817
958,1818
959,1818
960,1818
961,1818
962,1818
963,1818
964,1818
965,1818
966,1818
967,1818
968,1818
969,1818
970,1818
971,1818
972,1818
973,1818
974,1818
975,1818
976,1818
977,1818
978,1818
979,1818
980,1818
981,1818
982,1818
983,1818
984,1818
985,1818
986,1818
987,1818
988,1818
989,1818
990,1818
991,1818
992,1818
993,1818
994,1819
995,1819
996,1819
997,1819
998,1819
999,1819
1000,1819
1001,1819
1002,1819
1003,1819
1004,1819
1005,1819
1006,1819
1007,1819
1008,1819
1009,1819
1010,1819
1011,1819
1012,1819
1013,1819
1014,1819
1015,1819
1016,1819
1017,1819
1018,1819
1019,1819
1020,1819
1021,1819
1022,1819
1023,1819
1024,1819
1025,1819
1026,1819
1027,1820
1028,1820
1029,1820
1030,1820
1031,1820
1032,1820
1033,1820
1034,1820
1035,1820
1036,1820
1037,1820
1038,1820
1039,1820
1040,1820
1041,1820
1042,1820
1043,1820
1044,1820
1045,1820
1046,1820
1047,1820
1048,1820
1049,1820
1050,1820
1051,1820
1052,1820
1053,1820
1054,1821
1055,1821
1056,1821
1057,1821
1058,1821
1059,1821
1060,1821
1061,1821
1062,1821
1063,1821
1064,1821
1065,1821
1066,1821
1067,1821
1068,1821
1069,1821
1070,1821
1071,1821
1072,1821
1073,1821
1074,1821
1075,1821
1076,1821
1077,1821
1078,1821
1079,1821
1080,1821
1081,1821
1082,1821
1083,1821
1084,1821
1085,1821
1086,1821
1087,1821
1088,1821
1089,1821
1090,1821
1091,1821
1092,1821
1093,1821
1094,1821
1095,1821
1096,1822
1097,1822
1098,1822
1099,1822
1100,1822
1101,1822
1102,1822
1103,1822
1104,1822
1105,1822
1106,1822
1107,1822
1108,1822
1109,1822
1110,1822
1111,1822
1112,1822
1113,1822
1114,1822
1115,1822
1116,1822
1117,1822
1118,1822
1119,1822
1120,1822
1121,1822
1122,1822
1123,1822
1124,1822
1125,1822
1126,1822
1127,1823
1128,1823
1129,1823
1130,1823
1131,1823
1132,1823
1133,1823
1134,1823
1135,1823
1136,1823
1137,1823
1138,1823
1139,1823
1140,1823
1141,1823
1142,1823
1143,1823
1144,1823
1145,1823
1146,1823
1147,1823
1148,1823
1149,1823
1150,1823
1151,1823
1152,1823
1153,1823
1154,1823
1155,1823
1156,1824
1157,1824
1158,1824
1159,1824
1160,1824
1161,1824
1162,1824
1163,1824
1164,1824
1165,1824
1166,1824
1167,1824
1168,1824
1169,1824
1170,1824
1171,1824
1172,1824
1173,1824
1174,1824
1175,1824
1176,1824
1177,1824
1178,1824
1179,1824
1180,1824
1181,1824
1182,1824
1183,1824
1184,1824
1185,1824
1186,1824
1187,1824
1188,1824
1189,1824
1190,1824
1191,1824
1192,1824
1193,1824
1194,1824
1195,1824
1196,1824
1197,1825
1198,1825
1199,1825
1200,1825
1201,1825
1202,1825
1203,1825
1204,1825
1205,1825
1206,1825
1207,1825
1208,1825
1209,1825
1210,1825
1211,1825
1212,1825
1213,1825
1214,1825
1215,1825
1216,1825
1217,1825
1218,1825
1219,1825
1220,1825
1221,1825
1222,1825
1223,1825
1224,1825
1225,1826
1226,1826
1227,1826
1228,1826
1229,1826
1230,1826
1231,1826
1232,1826
1233,1826
1234,1826
1235,1826
1236,1826
1237,1826
1238,1826
1239,1826
1240,1826
1241,1826
1242,1826
1243,1826
1244,1826
1245,1826
1246,1826
1247,1826
1248,1826
1249,1826
1250,1826
1251,1826
1252,1826
1253,1826
1254,1826
1255,1826
1256,1826
1257,1827
1258,1827
1259,1827
1260,1827
1261,1827
1262,1827
1263,1827
1264,1827
1265,1827
1266,1827
1267,1827
1268,1827
1269,1827
1270,1827
1271,1827
1272,1827
1273,1827
1274,1827
1275,1827
1276,1827
1277,1827
1278,1827
1279,1827
1280,1827
1281,1827
1282,1827
1283,1827
1284,1827
1285,1827
1286,1827
1287,1827
1288,1827
1289,1827
1290,1827
1291,1827
1292,1827
1293,1827
1294,1827
1295,1827
1296,1827
1297,1827
